Date,start_time,stop_time,SampleID,FileID,run_block,AT,ET,chamber_channel,BLANK,light_dark,Notes,rerun?,temp
3/25/2023,18:09,19:10,A1_H,A1_HIGH_CH1_RUN1_O2.csv,RUN1,HIGH,HIGH,1,,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,28
3/25/2023,18:09,19:10,B2_H,B2_HIGH_CH2_RUN1_O2.csv,RUN1,LOW,HIGH,2,,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,28
3/25/2023,18:09,19:10,BLANK_1_LIGHT,BLANK_CH3_RUN1_O2.csv,RUN1,BLANK,BLANK,3,1,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,28
3/25/2023,18:09,19:10,A2_H,A2_HIGH_CH4_RUN1_O2.csv,RUN1,HIGH,HIGH,4,,LIGHT,digital thermometer reading ~31.8; 18:23 resealed chamber lid; potentially rerun; 18:40 computer went to sleep for a moment and had to restart all channels,yes,30.5
3/25/2023,18:09,19:10,B2_L,B2_LOW_CH5_RUN1_O2.csv,RUN1,LOW,LOW,5,,LIGHT,digital thermometer reading ~31.8; 18:40 computer went to sleep for a moment and had to restart all channels,yes,30.9
3/25/2023,18:09,19:10,A2_L,A2_LOW_CH6_RUN1_O2.csv,RUN1,HIGH,LOW,6,,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,28
3/25/2023,18:09,19:10,B1_L,B1_LOW_CH7_RUN1_O2.csv,RUN1,LOW,LOW,7,,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,28.3
3/25/2023,18:09,19:10,A1_L,A1_LOW_CH8_RUN1_O2.csv,RUN1,HIGH,LOW,8,,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,28
3/25/2023,18:09,19:10,B1_H,B1_HIGH_CH9_RUN1_O2.csv,RUN1,LOW,HIGH,9,,LIGHT,digital thermometer reading ~30; 18:40 computer went to sleep for a moment and had to restart all channels,yes,27.9
3/25/2023,20:51,21:18,A1_H,A1_HIGH_CH1_RUN1_DARK_O2.csv,RUN1,HIGH,HIGH,1,,DARK,digital thermometer is still reading off from oxy10 probes,,
3/25/2023,20:51,21:18,B2_H,B2_HIGH_CH2_RUN1_DARK_O2.csv,RUN1,LOW,HIGH,2,,DARK,,,
3/25/2023,20:51,21:18,BLANK_1_DARK,BLANK_CH3_RUN1_DARK_O2.csv,RUN1,BLANK,BLANK,3,1,DARK,,,
3/25/2023,20:51,21:18,A2_H,A2_HIGH_CH4_RUN1_DARK_O2.csv,RUN1,HIGH,HIGH,4,,DARK,,,
3/25/2023,20:51,21:18,B2_L,B2_LOW_CH5_RUN1_DARK_O2.csv,RUN1,LOW,LOW,5,,DARK,,,
3/25/2023,20:51,21:18,A2_L,A2_LOW_CH6_RUN1_DARK_O2.csv,RUN1,HIGH,LOW,6,,DARK,,,
3/25/2023,20:51,21:18,B1_L,B1_LOW_CH7_RUN1_DARK_O2.csv,RUN1,LOW,LOW,7,,DARK,,,
3/25/2023,20:51,21:18,A1_L,A1_LOW_CH8_RUN1_DARK_O2.csv,RUN1,HIGH,LOW,8,,DARK,had to reseal at 21:56. will let run for another 5 minutes,,
3/25/2023,20:51,21:18,B1_H,B1_HIGH_CH9_RUN1_DARK_O2.csv,RUN1,LOW,HIGH,9,,DARK,,,
3/26/2023,11:48,12:49,B4_H,B4_HIGH_CH1_RUN2_O2.csv,RUN2,LOW,HIGH,1,,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,A4_L,A4_LOW_CH2_RUN2_O2.csv,RUN2,HIGH,LOW,2,,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,A4_H,A4_HIGH_CH3_RUN2_O2.csv,RUN2,HIGH,HIGH,3,,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,A3_L,A3_LOW_CH4_RUN2_O2.csv,RUN2,HIGH,LOW,4,,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,B3_L,B3_LOW_CH5_RUN2_O2.csv,RUN2,LOW,LOW,5,,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,B3_H,B3_HIGH_CH6_RUN2_O2.csv,RUN2,LOW,HIGH,6,,LIGHT,Oxy10 temp probe was in the main basin while the InkBird temp probe was in the chamber. Need to run again,,
3/26/2023,11:48,12:49,B4_L,B4_LOW_CH7_RUN2_O2.csv,RUN2,LOW,LOW,7,,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,BLANK_2_LIGHT,BLANK_CH8_RUN2_O2.csv,RUN2,BLANK,BLANK,8,1,LIGHT,OG start 11:36,,
3/26/2023,11:48,12:49,A3_H,A3_HIGH_CH9_RUN2_O2.csv,RUN2,HIGH,HIGH,9,,LIGHT,OG start 11:36,,
3/26/2023,14:09,14:47,B4_H,B4_HIGH_CH1_RUN2_DARK_O2.csv,RUN2,LOW,HIGH,1,,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:09,14:47,A4_L,A4_LOW_CH2_RUN2_DARK_O2.csv,RUN2,HIGH,LOW,2,,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:09,14:47,A4_H,A4_HIGH_CH3_RUN2_DARK_O2.csv,RUN2,HIGH,HIGH,3,,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:09,14:47,A3_L,A3_LOW_CH4_RUN2_DARK_O2.csv,RUN2,HIGH,LOW,4,,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:09,14:47,B3_L,B3_LOW_CH5_RUN2_DARK_O2.csv,RUN2,LOW,LOW,5,,DARK,OG start 14:09; stop 14:26 and restart briefly after; I accidentally unsealed at 14:34. resealed and curve looks good again,,
3/26/2023,14:09,14:47,B3_H,B3_HIGH_CH6_RUN2_DARK_O2.csv,RUN2,LOW,HIGH,6,,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:09,14:47,B4_L,B4_LOW_CH7_RUN2_DARK_O2.csv,RUN2,LOW,LOW,7,,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:09,14:47,BLANK_2_DARK,BLANK_CH8_RUN2_DARK_O2.csv,RUN2,BLANK,BLANK,8,1,DARK,OG start 14:09; stop 14:26 and restart briefly after,,
3/26/2023,14:44,15:04,A3_H,A3_HIGH_CH9_RUN2_DARK_O2.csv,RUN2,HIGH,HIGH,9,,DARK,"OG start at 14:09, checked seal at 14:21; realized chamber was nearly anoxic. Flushed water and restarted; shined a light at 14:43 and saw bubbles and a bad seal, so removed lid to remove bubbles and then resealed.",,
3/26/2023,17:00,18:02,BLANK_3_LIGHT,BLANK_CH1_RUN3_O2.csv,RUN3,BLANK,BLANK,1,1,LIGHT,,,
3/26/2023,17:00,18:02,A5_L,A5_LOW_CH2_RUN3_O2.csv,RUN3,HIGH,LOW,2,,LIGHT,,,
3/26/2023,17:00,18:02,A6_H,A6_HIGH_CH3_RUN3_O2.csv,RUN3,HIGH,HIGH,3,,LIGHT,,,
3/26/2023,17:00,18:02,A5_H,A5_HIGH_CH4_RUN3_O2.csv,RUN3,HIGH,HIGH,4,,LIGHT,,,
3/26/2023,17:00,18:02,B6_H,B6_HIGH_CH5_RUN3_O2.csv,RUN3,LOW,HIGH,5,,LIGHT,broken seal at 17:40-17:50,,
3/26/2023,17:00,18:02,B6_L,B6_LOW_CH6_RUN3_O2.csv,RUN3,LOW,LOW,6,,LIGHT,,,
3/26/2023,17:00,18:02,A6_L,A6_LOW_CH7_RUN3_O2.csv,RUN3,HIGH,LOW,7,,LIGHT,,,
3/26/2023,17:00,18:02,B5_L,B5_LOW_CH8_RUN3_O2.csv,RUN3,LOW,LOW,8,,LIGHT,,,
3/26/2023,17:00,18:02,B5_H,B5_HIGH_CH9_RUN3_O2.csv,RUN3,LOW,HIGH,9,,LIGHT,,,
3/26/2023,18:57,19:19,BLANK_3_DARK,BLANK_CH1_RUN3_DARK_O2.csv,RUN3,BLANK,BLANK,1,1,DARK,,,
3/26/2023,18:57,19:19,A5_L,A5_LOW_CH2_RUN3_DARK_O2.csv,RUN3,HIGH,LOW,2,,DARK,,,
3/26/2023,18:57,19:19,A6_H,A6_HIGH_CH3_RUN3_DARK_O2.csv,RUN3,HIGH,HIGH,3,,DARK,,,
3/26/2023,18:57,19:19,A5_H,A5_HIGH_CH4_RUN3_DARK_O2.csv,RUN3,HIGH,HIGH,4,,DARK,,,
3/26/2023,18:57,19:19,B6_H,B6_HIGH_CH5_RUN3_DARK_O2.csv,RUN3,LOW,HIGH,5,,DARK,,,
3/26/2023,18:57,19:19,B6_L,B6_LOW_CH6_RUN3_DARK_O2.csv,RUN3,LOW,LOW,6,,DARK,,,
3/26/2023,18:57,19:19,A6_L,A6_LOW_CH7_RUN3_DARK_O2.csv,RUN3,HIGH,LOW,7,,DARK,,,
3/26/2023,18:57,19:19,B5_L,B5_LOW_CH8_RUN3_DARK_O2.csv,RUN3,LOW,LOW,8,,DARK,,,
3/26/2023,18:57,19:19,B5_H,B5_HIGH_CH9_RUN3_DARK_O2.csv,RUN3,LOW,HIGH,9,,DARK,,,
3/27/2023,11:37,12:47,A7_H,A7_HIGH_CH1_RUN4_O2.csv,RUN4,HIGH,HIGH,1,,LIGHT,,,
3/27/2023,11:37,12:47,B8_L,B8_LOW_CH2_RUN4_O2.csv,RUN4,LOW,LOW,2,,LIGHT,,,
3/27/2023,11:37,12:47,A8_L,A8_LOW_CH3_RUN4_O2.csv,RUN4,HIGH,LOW,3,,LIGHT,,,
3/27/2023,11:37,12:47,B7_L,B7_LOW_CH4_RUN4_O2.csv,RUN4,LOW,LOW,4,,LIGHT,,,
3/27/2023,11:37,12:47,B8_H,B8_HIGH_CH5_RUN4_O2.csv,RUN4,LOW,HIGH,5,,LIGHT,,,
3/27/2023,11:37,12:47,A7_L,A7_LOW_CH6_RUN4_O2.csv,RUN4,HIGH,LOW,6,,LIGHT,12:08 starting to break seal,,
3/27/2023,11:37,12:47,A8_H,A8_HIGH_CH7_RUN4_O2.csv,RUN4,HIGH,HIGH,7,,LIGHT,11:43 broken seal,,
3/27/2023,11:37,12:47,BLANK_4_LIGHT,BLANK_CH8_RUN4_O2.csv,RUN4,BLANK,BLANK,8,1,LIGHT,,,
3/27/2023,11:37,12:47,B7_H,B7_HIGH_CH9_RUN4_O2.csv,RUN4,LOW,HIGH,9,,LIGHT,,,
3/27/2023,13:39,14:04,A7_H,A7_HIGH_CH1_RUN4_DARK_O2.csv,RUN4,HIGH,HIGH,1,,DARK,,,
3/27/2023,13:39,14:04,B8_L,B8_LOW_CH2_RUN4_DARK_O2.csv,RUN4,LOW,LOW,2,,DARK,,,
3/27/2023,13:39,14:04,A8_L,A8_LOW_CH3_RUN4_DARK_O2.csv,RUN4,HIGH,LOW,3,,DARK,,,
3/27/2023,13:39,14:04,B7_L,B7_LOW_CH4_RUN4_DARK_O2.csv,RUN4,LOW,LOW,4,,DARK,,,
3/27/2023,13:39,14:04,B8_H,B8_HIGH_CH5_RUN4_DARK_O2.csv,RUN4,LOW,HIGH,5,,DARK,,,
3/27/2023,13:39,14:04,A7_L,A7_LOW_CH6_RUN4_DARK_O2.csv,RUN4,HIGH,LOW,6,,DARK,seal broken at 13:49-13:53,,
3/27/2023,13:39,14:04,A8_H,A8_HIGH_CH7_RUN4_DARK_O2.csv,RUN4,HIGH,HIGH,7,,DARK,seal started getting loose at 13:51 and fixed at 13:59,,
3/27/2023,13:39,14:04,BLANK_4_DARK,BLANK_CH8_RUN4_DARK_O2.csv,RUN4,BLANK,BLANK,8,1,DARK,,,
3/27/2023,13:39,14:04,B7_H,B7_HIGH_CH9_RUN4_DARK_O2.csv,RUN4,LOW,HIGH,9,,DARK,,,
3/27/2023,17:39,18:41,A9_L,A9_LOW_CH1_RUN5_O2.csv,RUN5,HIGH,LOW,1,,LIGHT,fixed seal at 18:09,,
3/27/2023,17:39,18:41,BLANK_5_LIGHT,BLANK_CH2_RUN5_O2.csv,RUN5,BLANK,BLANK,2,1,LIGHT,,,
3/27/2023,17:39,18:41,B10_L,B10_LOW_CH3_RUN5_O2.csv,RUN5,LOW,LOW,3,,LIGHT,fixed seal at 18:08,,
3/27/2023,17:39,18:41,A10_H,A10_HIGH_CH4_RUN5_O2.csv,RUN5,HIGH,HIGH,4,,LIGHT,,,
3/27/2023,17:39,18:41,B9_L,B9_LOW_CH5_RUN5_O2.csv,RUN5,LOW,LOW,5,,LIGHT,saw two bubbles in chamber at 17:59. had to lift seal partially to get bubbles out and then resealed,,
3/27/2023,17:39,18:41,A9_H,A9_HIGH_CH6_RUN5_O2.csv,RUN5,HIGH,HIGH,6,,LIGHT,,,
3/27/2023,17:39,18:41,B9_H,B9_HIGH_CH7_RUN5_O2.csv,RUN5,LOW,HIGH,7,,LIGHT,added clay to unsealing sides at 17:52,,
3/27/2023,17:39,18:41,B3_H,B3_HIGH_CH9_RUN5_O2.csv,RUN5,LOW,HIGH,9,,LIGHT,,,
3/27/2023,19:34,19:58,A9_L,A9_LOW_CH1_RUN5_DARK_O2.csv,RUN5,HIGH,LOW,1,,DARK,,,
3/27/2023,20:06,20:26,BLANK_5_DARK,BLANK_CH2_RUN5_DARK_O2.csv,RUN5,BLANK,BLANK,2,1,DARK,OG start 19:34,,
3/27/2023,19:34,20:26,B10_L,B10_LOW_CH3_RUN5_DARK_O2.csv,RUN5,LOW,LOW,3,,DARK,fixed seal at 19:54,,
3/27/2023,20:06,20:26,A10_H,A10_HIGH_CH4_RUN5_DARK_O2.csv,RUN5,HIGH,HIGH,4,,DARK,seal broken and attempted fix st 19:47 actually fixec at 19:50; maybe actually fixed at 19:57,,
3/27/2023,19:34,19:58,B9_L,B9_LOW_CH5_RUN5_DARK_O2.csv,RUN5,LOW,LOW,5,,DARK,,,
3/27/2023,20:06,20:26,A9_H,A9_HIGH_CH6_RUN5_DARK_O2.csv,RUN5,HIGH,HIGH,6,,DARK,fixed seal at 19:46,,
3/27/2023,19:34,19:58,B9_H,B9_HIGH_CH7_RUN5_DARK_O2.csv,RUN5,LOW,HIGH,7,,DARK,,,
3/27/2023,19:34,19:58,B3_H,B3_HIGH_CH9_RUN5_DARK_O2.csv,RUN5,LOW,HIGH,9,,DARK,,,
3/28/2023,14:29,15:39,B2_H,B2_HIGH_CH1_RUN6_O2.csv,RUN6,LOW,HIGH,1,,LIGHT,,,
3/28/2023,14:29,15:39,B1_L,B1_LOW_CH2_RUN6_O2.csv,RUN6,LOW,LOW,2,,LIGHT,fixed seal at 14:43;seal broken from 14:51-14:57,,
3/28/2023,14:29,15:39,B1_H,B1_HIGH_CH3_RUN6_O2.csv,RUN6,LOW,HIGH,3,,LIGHT,fixed seal at 14:43 and 14:46,,
3/28/2023,14:29,15:39,A2_H,A2_HIGH_CH4_RUN6_O2.csv,RUN6,HIGH,HIGH,4,,LIGHT,,,
3/28/2023,14:29,15:39,A1_L,A1_LOW_CH5_RUN6_O2.csv,RUN6,HIGH,LOW,5,,LIGHT,,,
3/28/2023,14:29,15:39,BLANK_6_LIGHT,BLANK_CH6_RUN6_O2.csv,RUN6,BLANK,BLANK,6,1,LIGHT,,,
3/28/2023,14:29,15:39,B2_L,B2_LOW_CH7_RUN6_O2.csv,RUN6,LOW,LOW,7,,LIGHT,removed due to light malfuction,,
3/28/2023,14:29,15:39,A1_H,A1_HIGH_CH8_RUN6_O2.csv,RUN6,HIGH,HIGH,8,,LIGHT,,,
3/28/2023,14:29,15:39,A2_L,A2_LOW_CH9_RUN6_O2.csv,RUN6,HIGH,LOW,9,,LIGHT,,,
3/28/2023,16:39,16:59,B12_H,B2_HIGH_CH1_RUN6_DARK_O2.csv,RUN6,LOW,HIGH,1,,DARK,,,
3/28/2023,16:39,16:59,B11_L,B1_LOW_CH2_RUN6_DARK_O2.csv,RUN6,LOW,LOW,2,,DARK,,,
3/28/2023,16:39,16:59,B11_H,B1_HIGH_CH3_RUN6_DARK_O2.csv,RUN6,LOW,HIGH,3,,DARK,,,
3/28/2023,16:39,16:59,A12_H,A2_HIGH_CH4_RUN6_DARK_O2.csv,RUN6,HIGH,HIGH,4,,DARK,,,
3/28/2023,16:39,16:59,A11_L,A1_LOW_CH5_RUN6_DARK_O2.csv,RUN6,HIGH,LOW,5,,DARK,,,
3/28/2023,16:39,16:59,BLANK_6_DARK,BLANK_CH6_RUN6_DARK_O2.csv,RUN6,BLANK,BLANK,6,1,DARK,,,
3/28/2023,16:39,16:59,B12_L,B2_LOW_CH7_RUN6_DARK_O2.csv,RUN6,LOW,LOW,7,,DARK,removed due to light malfuction,,
3/28/2023,16:39,16:59,A11_H,A1_HIGH_CH8_RUN6_DARK_O2.csv,RUN6,HIGH,HIGH,8,,DARK,,,
3/28/2023,16:39,16:59,A12_L,A2_LOW_CH9_RUN6_DARK_O2.csv,RUN6,HIGH,LOW,9,,DARK,,,
